なす	なす  名 ① ・ 茄子
換気扇	換気扇[かんきせん]  名 ⓪ ・ 抽風扇；抽油煙機
キログラム	キログラム  名 ③ ・ 公斤
キロメートル	キロメートル  名 ③ ・ ……公里
〜ら	〜ら  接尾 ・ ……們，……等
〜末	〜末[〜まつ]  接尾 ・ ……末，……尾
あたし	あたし  代 ⓪ ・ （女性用語）我
アメリカ	アメリカ  名 ⓪ ・ 美洲；美國
アルバム	アルバム  名 ⓪ ・ 相簿，紀念冊
おっしゃる	おっしゃる  他動1 ③ ・ 說，講
キロ	キロ  名 ① ・ 千
コーラ	コーラ  名 ① ・ 可樂
この前	この前[このまえ]  名 ③ ・ 最近，之前；上次
この辺	この辺[このへん]  名 ⓪ ・ 這附近
ゴルフ	ゴルフ  名 ① ・ 高爾夫
ショッピング	ショッピング  名・自動3 ① ・ 購物
スープ	スープ  名 ① ・ 湯
すばらしい	すばらしい  イ形 ④ ・ 出色的，優秀的
スプーン	スプーン  名 ② ・ 湯匙，勺子
チーム	チーム  名 ① ・ 隊，組
テープ	テープ  名 ① ・ 磁帶，錄音帶；窄長的布、紙等
ドリンク	ドリンク  名 ② ・ 飲料
のり	のり  名 ② ・ 漿糊，黏著劑
バイク	バイク  名 ① ・ 機車，摩托車；腳踏車
フォーク	フォーク  名 ① ・ 叉子
ふらふら	ふらふら  副・ナ形・自動3 ①⓪ ・ （因無力而身體）晃悠，暈；游移不定；糊裡糊塗
ふるさと	ふるさと  名 ② ・ 故鄉，家鄉
ポケット	ポケット  名 ②① ・ 口袋
ポテト	ポテト  名 ① ・ 馬鈴薯
マンション	マンション  名 ① ・ （鋼筋混凝土建造的）高階公寓，居民樓
メールアドレス	メールアドレス  名 ④ ・ 信箱地址
ラジカセ	ラジカセ  名 ⓪ ・ 收錄音機
飲食	飲食[いんしょく]  名・自他動3 ①⓪ ・ 飲食
横断歩道	横断歩道[おうだんほどう]  名 ⑤ ・ 斑馬線
億	億[おく]  名 ① ・ 億
俺	俺[おれ]  代 ⓪ ・ （非正式場合的男性自稱）我
家庭	家庭[かてい]  名 ⓪ ・ 家庭
海外	海外[かいがい]  名 ① ・ 海外，國外
滑る	滑る[すべる]  自動1 ② ・ 滑行；打滑
歓迎会	歓迎会[かんげいかい]  名 ③ ・ 迎新會
企業	企業[きぎょう]  名 ① ・ 企業
気温	気温[きおん]  名 ⓪ ・ 氣溫
記念品	記念品[きねんひん]  名 ⓪ ・ 紀念品
銀行員	銀行員[ぎんこういん]  名 ③ ・ 銀行工作人員
健康	健康[けんこう]  名・ナ形 ⓪ ・ 健康；健康的
語	語[ご]  名 ① ・ 單字，詞語
喉	喉[のど]  名 ① ・ 喉嚨，嗓子
今まで	今まで[いままで]  副 ③ ・ 至今為止
咲く	咲く[さく]  自動1 ⓪ ・ 開花
作家	作家[さっか]  名 ⓪ ・ 作家
自己	自己[じこ]  名 ① ・ 自己
自動車	自動車[じどうしゃ]  名 ②⓪ ・ 汽車
社会	社会[しゃかい]  名 ① ・ 社會
主人	主人[しゅじん]  名 ① ・ 一家之主；老闆；丈夫
出張	出張[しゅっちょう]  名・自動3 ⓪ ・ 出差
書類	書類[しょるい]  名 ⓪ ・ 檔案，資料
小〜	小〜[こ〜]  接頭 ・ 小……；稍微……
丈夫	丈夫[じょうぶ]  ナ形 ⓪ ・ 健康，強壯；堅固，結實
新鮮	新鮮[しんせん]  名・ナ形 ⓪ ・ 新鮮，鮮活
数字	数字[すうじ]  名 ⓪ ・ 數字
洗濯機	洗濯機[せんたくき]  名 ④③ ・ 洗衣機
全員	全員[ぜんいん]  名 ⓪ ・ 全體成員
祖父母	祖父母[そふぼ]  名 ② ・ 祖父母
太陽	太陽[たいよう]  名 ① ・ 太陽
代わり	代わり[かわり]  名 ⓪ ・ 代替，替代；（お代わり）再來一份，再來一碗
茶 碗[わん]	茶 碗[わん]  名 ⓪ ・ 碗，茶杯，飯碗
中華料理	中華料理[ちゅうかりょうり]  名 ④ ・ 中國菜
張る	張る[はる]  自他動1 ⓪ ・ 拉；挺；膨脹；覆蓋；（肌肉）發痠
田舎	田舎[いなか]  名 ⓪ ・ 鄉下，農村；老家
都会	都会[とかい]  名 ⓪ ・ 都市，大城市
豚肉	豚肉[ぶたにく]  名 ⓪ ・ 豬肉
二十歳	二十歳[はたち]  名 ① ・ 二十歲
梅雨	梅雨[つゆ]  名 ⓪ ・ （從六月到七月持續下雨）梅雨季節
博物館	博物館[はくぶつかん]  名 ④③ ・ 博物館
